,rev_ids,ratings
1226,705268522,Stub
1227,705268536,Stub
1228,705268645,Stub
1229,705272416,Stub
1230,705274650,Start
1231,705277835,Stub
1232,705286745,Stub
1233,705288012,Stub
1234,705288814,Stub
1235,705293831,Start
1236,705301730,Stub
1237,705322126,Stub
1238,705332341,Stub
1239,705346284,Stub
1240,705346304,Stub
1241,705346378,Stub
1242,705346396,Stub
1243,705346462,Stub
1244,705346724,Stub
1245,705346741,Stub
1246,705346794,Stub
1247,705346842,Stub
1248,705346888,Stub
1249,705346938,Stub
1250,705346996,Stub
1251,705347018,Stub
1252,705347032,Stub
1253,705347050,Stub
1254,705347079,Start
1255,705347109,Stub
1256,705347141,Stub
1257,705347152,Stub
1258,705347173,Start
1259,705347224,Stub
1260,705347243,Stub
1261,705349064,Start
1262,705349092,Stub
1263,705349139,Start
1264,705349167,Stub
1265,705349213,Stub
1266,705353421,Stub
1267,705353491,Stub
1268,705353565,Stub
1269,705353584,Stub
1270,705353647,Stub
1271,705353678,Stub
1272,705353843,Stub
1273,705353896,Stub
1274,705353975,Stub
1275,705354095,Stub
1276,705354112,Stub
1277,705354212,Stub
1278,705360501,Start
1279,705360606,Start
1280,705361515,Stub
1281,705361631,Stub
1282,705361890,Stub
1283,705361977,Stub
1284,705362182,Stub
1285,705362274,Stub
1286,705363525,Stub
1287,705363610,Stub
1288,705363657,Stub
1289,705363872,Start
1290,705363891,Start
1291,705369652,Start
1292,705381218,Stub
1293,705383874,Start
1294,705385310,Stub
1295,705386024,Stub
1296,705390654,Stub
1297,705395252,Stub
1298,705395257,Stub
1299,705397692,Stub
1300,705402311,Stub
1301,705409866,Start
1302,705419921,Stub
1303,705420162,Stub
1304,705420173,Stub
1305,705426676,Stub
1306,705426756,Stub
1307,705426772,Stub
1308,705428274,Stub
1309,705431624,Stub
1310,705432607,Stub
1311,705433513,C
1312,705434314,Stub
1313,705436088,Stub
1314,705459067,Stub
1315,705460148,Stub
1316,705460585,Start
1317,705467367,Start
1318,705490419,Start
1319,705518003,Stub
1320,705518883,Stub
1321,705527296,Stub
1322,705528950,Stub
1323,705539849,Stub
1324,705543133,Stub
1325,705546376,Stub
1326,705547266,Stub
1327,705550209,Stub
1328,705557717,Stub
1329,705570766,Stub
1330,705579844,Stub
1331,705585115,Start
1332,705586751,Start
1333,705597487,Stub
1334,705601685,Start
1335,705607317,Stub
1336,705607410,Stub
1337,705619664,Stub
1338,705622230,Stub
1339,705622580,Stub
1340,705631918,Stub
